"photographer","contribution count"
"Knorr & Hirth","1"

"Koti, Andr�","1"

"Kr�ner, Wilhelm","1"

"L.F.P.","1"

"L.I.F.E. Mazzitelli Vincenzo","1"

"Lacoste, Jos�","1"

"Lazare, R.","1"

"Leasarte","1"

"Leeser, Paulus","1"

"Lembo, Ferdinando","1"

"Light Fotofilm","1"

"Loobuyck, M.","1"

"Lori","1"

"Luisa, Alberto","1"

"Lux et Umbra","1"

"Magrelli, Paride","1"

"Manias, Jules","1"

"Manuel, Henri","1"

"Marcucci, Giacomo","1"

"Marzullo, Federico","1"

"Mates, Robert E./ Katz, Paul","1"

"Mattei, Renzo","1"

"Mauritshuis","1"

"Mayer","1"

"Memorial Hall","1"

"Mengoli, Giovanni","1"

"Mewbourn, Allen","1"

"Meyer, Krzystof B.","1"

"Michta, Stanislaw","1"

"Millar and Harris","1"

"Mille, Daniel","1"

"Minarini","1"

"Moulin, Gabriel","1"

"Museo Civico G. Ferrari","1"

"Museo Civico di Vicenza","1"

"Museo Nazionale di Castel Sant'Angelo: Archivio Fotografico","1"

"Museum Schloss Wilhelmsh�he, Gem�ldegalerie Alte Meister","1"

"Mus�e National des Beaux-Arts d'Alger","1"

"Mus�e de la Chartreuse de Douai","1"

"Mus�e des Arts D�coratifs","1"

"Mus�e des Beaux Arts de Nantes","1"

"Mus�e des Beaux-Arts de Marseille","1"

"Mus�e des Beaux-Arts de Tours","1"

"Mutter, Johann","1"

"Muzeum Narodowe w Poznaniu","1"

"Nannini","1"

"National Galleries of Scotland","1"

"National Gallery of Victoria","1"

"Nelson, O. E.","1"

"Neocolor s.r.l.","1"

"Newman Fury","1"

"News Blitz Photoreportages","1"

"Nicola","1"

"Norton Museum of Art","1"

"O'Reilly, Michael","1"

"Odon Wagner Gallery","1"

"Ogheri, M.","1"

"Opificio delle Pietre Dure, Archivio restauri","1"

"Pach Brothers","1"

"Pais, Francesco","1"

"Paltrinieri, Roberto","1"

"Parke-Bernet","1"

"Paulic, N.","1"

"Perena","1"

"Pessina, Carlo","1"

"Peterson, Edward","1"

"Petraroli, Eugenio","1"

"Petrelli, R.","1"

"Philbrook Museum of Art","1"

"Photo Boissonnas","1"

"Photo Etienne","1"

"Photo L'Epi-Devolder","1"

"Photo-Capitole","1"

"Photo-Haas","1"

"Photochromes Z�rich","1"

"Photopress","1"

"Photopress Italiana","1"

"Photos","1"

"Photos Cauvin","1"

"Pinacoteca Civica","1"

"Pinacoteca Civica Tosio-Martinengo","1"

"Polimeni, Paolo","1"

"Poplin, Maurice","1"

"Poppi, Pietro","1"

"Portugal","1"

"Por�e, Monique","1"

"Quadreria Arcivescovile","1"

"Ranzi, Marcello","1"

"Reimers, Jan H.","1"

"Rheinisches Landesmuseum Bonn","1"

"Rigamonti, Eugenio","1"

"Ritter-Jeppesen Studios","1"

"Rizzi, Lino","1"

"Robert, Paul","1"

"Rocca, Luigi","1"

"Romanowski, Henryk","1"

"Rompel, Franz","1"

"Rossini, Romana","1"

"Routhier, M.","1"

"S.F.E.R.","1"

"SAP","1"

"Salmon Printers & Publishers","1"

"Salvini, Pietro","1"

"Sansoni e Valentini","1"

"Scarpa, Pietro","1"

"Schepis","1"

"Schiavinotto, Giuseppe","1"

"Schmitz, Gregory W.","1"

"Scholzig, Otto","1"

"Schweizerisches Institut f�r Kunstwissenschaft","1"

"Seidner, Zoltan","1"

"Senni, Leone","1"

"Serra, F.","1"

